id,AssetID,AMCYears,WarrantyYears,HasInsurance,CommissionDate
AI001,A1,4,4,YES,2024-01-01 01:24:15.557569
AI002,A2,3,4,YES,2023-07-29 01:24:15.557569
AI003,A3,1,3,NO,2020-10-28 01:24:15.557569
AI004,A4,1,4,NO,2024-01-01 01:24:15.557569
AI005,A5,4,4,YES,2023-07-29 01:24:15.557569
AI006,A6,4,2,YES,2022-03-16 01:24:15.557569
AI007,A7,2,2,NO,2024-01-01 01:24:15.557569
AI008,A8,3,3,YES,2023-07-29 01:24:15.557569
AI009,A9,3,2,NO,2020-12-23 01:24:15.557569
AI010,A10,3,2,YES,2020-12-23 01:24:15.557569
AI011,A11,1,1,YES,2024-01-01 01:24:15.557569
AI012,A12,4,3,YES,2020-10-28 01:24:15.557569
AI013,A13,1,1,YES,2024-01-01 01:24:15.557569
AI014,A14,3,4,NO,2024-01-01 01:24:15.557569
AI015,A15,4,2,YES,2020-10-28 01:24:15.557569
AI016,A16,1,2,YES,2024-01-01 01:24:15.557569
AI017,A17,2,1,YES,2022-03-16 01:24:15.557569
AI018,A18,2,3,NO,2020-10-28 01:24:15.557569
AI019,A19,3,4,NO,2022-03-16 01:24:15.557569
AI020,A20,3,1,NO,2024-01-01 01:24:15.557569
AI021,A21,2,1,YES,2022-03-16 01:24:15.557569
AI022,A22,4,4,YES,2022-03-16 01:24:15.557569
AI023,A23,1,4,YES,2023-07-29 01:24:15.557569
AI024,A24,1,3,YES,2023-07-29 01:24:15.557569
AI025,A25,3,1,NO,2024-01-01 01:24:15.557569
AI026,A26,3,1,NO,2022-03-16 01:24:15.557569
AI027,A27,1,4,YES,2020-10-28 01:24:15.557569
AI028,A28,1,2,YES,2020-10-28 01:24:15.557569
AI029,A29,3,4,NO,2022-03-16 01:24:15.557569
AI030,A30,4,4,YES,2020-10-28 01:24:15.557569
AI031,A31,2,3,YES,2023-07-29 01:24:15.557569
AI032,A32,1,1,YES,2023-07-29 01:24:15.557569
AI033,A33,4,1,YES,2020-10-28 01:24:15.557569
AI034,A34,1,3,YES,2020-12-23 01:24:15.557569
AI035,A35,1,1,NO,2022-03-16 01:24:15.557569
AI036,A36,3,1,YES,2023-07-29 01:24:15.557569
AI037,A37,2,4,NO,2020-12-23 01:24:15.557569
AI038,A38,4,1,YES,2022-03-16 01:24:15.557569
AI039,A39,1,1,YES,2020-12-23 01:24:15.557569
AI040,A40,2,4,NO,2023-07-29 01:24:15.557569
AI041,A41,4,3,YES,2020-12-23 01:24:15.557569
AI042,A42,4,2,NO,2020-12-23 01:24:15.557569
AI043,A43,4,4,YES,2020-10-28 01:24:15.557569
AI044,A44,4,3,YES,2020-10-28 01:24:15.557569
AI045,A45,1,1,YES,2022-03-16 01:24:15.557569
AI046,A46,1,1,YES,2020-12-23 01:24:15.557569
AI047,A47,4,2,NO,2020-12-23 01:24:15.557569
AI048,A48,4,3,YES,2024-01-01 01:24:15.557569
AI049,A49,1,4,YES,2024-01-01 01:24:15.557569
AI050,A50,3,4,YES,2020-12-23 01:24:15.557569
AI051,A51,2,1,NO,2020-12-23 01:24:15.557569
AI052,A52,4,1,YES,2024-01-01 01:24:15.557569
AI053,A53,2,2,NO,2022-03-16 01:24:15.557569
AI054,A54,4,4,YES,2022-03-16 01:24:15.557569
AI055,A55,1,1,NO,2022-03-16 01:24:15.557569
AI056,A56,4,1,YES,2020-12-23 01:24:15.557569
AI057,A57,1,3,YES,2023-07-29 01:24:15.557569
AI058,A58,1,3,YES,2022-03-16 01:24:15.557569
AI059,A59,1,2,NO,2024-01-01 01:24:15.557569
AI060,A60,2,3,NO,2023-07-29 01:24:15.557569
AI061,A61,1,4,NO,2022-03-16 01:24:15.557569
AI062,A62,1,2,YES,2022-03-16 01:24:15.557569
AI063,A63,1,4,NO,2020-10-28 01:24:15.557569
AI064,A64,4,3,YES,2022-03-16 01:24:15.557569
AI065,A65,1,3,YES,2020-10-28 01:24:15.557569
AI066,A66,1,2,NO,2024-01-01 01:24:15.557569
AI067,A67,1,3,NO,2020-10-28 01:24:15.557569
AI068,A68,2,4,YES,2024-01-01 01:24:15.557569
AI069,A69,1,2,NO,2023-07-29 01:24:15.557569
AI070,A70,1,1,NO,2023-07-29 01:24:15.557569
AI071,A71,2,2,NO,2020-12-23 01:24:15.557569
AI072,A72,4,2,YES,2024-01-01 01:24:15.557569
AI073,A73,1,2,NO,2022-03-16 01:24:15.557569
AI074,A74,4,1,YES,2024-01-01 01:24:15.557569
AI075,A75,3,2,NO,2022-03-16 01:24:15.557569
AI076,A76,3,3,YES,2024-01-01 01:24:15.557569
AI077,A77,3,2,YES,2024-01-01 01:24:15.557569
AI078,A78,3,1,YES,2020-12-23 01:24:15.557569
AI079,A79,2,1,YES,2020-12-23 01:24:15.557569
AI080,A80,1,4,YES,2024-01-01 01:24:15.557569
AI081,A81,2,1,YES,2023-07-29 01:24:15.557569
AI082,A82,1,3,NO,2022-03-16 01:24:15.557569
AI083,A83,2,2,YES,2024-01-01 01:24:15.557569
AI084,A84,4,2,NO,2024-01-01 01:24:15.557569
AI085,A85,3,3,YES,2024-01-01 01:24:15.557569
AI086,A86,1,2,YES,2024-01-01 01:24:15.557569
AI087,A87,1,4,YES,2023-07-29 01:24:15.557569
AI088,A88,2,4,NO,2020-10-28 01:24:15.557569
AI089,A89,4,2,YES,2024-01-01 01:24:15.557569
AI090,A90,1,4,YES,2024-01-01 01:24:15.557569
AI091,A91,3,1,NO,2024-01-01 01:24:15.557569
AI092,A92,3,3,NO,2022-03-16 01:24:15.557569
AI093,A93,2,1,YES,2024-01-01 01:24:15.557569
AI094,A94,1,3,YES,2024-01-01 01:24:15.557569
AI095,A95,4,1,NO,2020-10-28 01:24:15.557569
AI096,A96,1,2,YES,2023-07-29 01:24:15.557569
AI097,A97,3,1,NO,2024-01-01 01:24:15.557569
AI098,A98,1,4,NO,2020-10-28 01:24:15.557569
AI099,A99,1,4,NO,2023-07-29 01:24:15.557569
AI100,A100,2,1,YES,2023-07-29 01:24:15.557569
AI101,A101,2,1,YES,2024-01-01 01:24:15.557569
AI102,A102,3,3,YES,2024-01-01 01:24:15.557569
AI103,A103,1,1,NO,2020-12-23 01:24:15.557569
AI104,A104,2,4,YES,2022-03-16 01:24:15.557569
AI105,A105,3,4,YES,2020-10-28 01:24:15.557569
AI106,A106,4,2,YES,2024-01-01 01:24:15.557569
AI107,A107,4,4,NO,2023-07-29 01:24:15.557569
AI108,A108,3,3,NO,2020-10-28 01:24:15.557569
AI109,A109,2,1,YES,2020-12-23 01:24:15.557569
AI110,A110,3,4,YES,2020-10-28 01:24:15.557569
AI111,A111,4,3,NO,2020-10-28 01:24:15.557569
AI112,A112,3,3,NO,2023-07-29 01:24:15.557569
AI113,A113,4,3,YES,2020-12-23 01:24:15.557569
AI114,A114,4,4,NO,2023-07-29 01:24:15.557569
AI115,A115,3,1,NO,2024-01-01 01:24:15.557569
AI116,A116,3,4,YES,2022-03-16 01:24:15.557569
AI117,A117,3,3,YES,2022-03-16 01:24:15.557569
AI118,A118,3,2,NO,2024-01-01 01:24:15.557569
AI119,A119,3,4,NO,2020-12-23 01:24:15.557569
AI120,A120,4,3,YES,2023-07-29 01:24:15.557569
AI121,A121,4,3,NO,2020-10-28 01:24:15.557569
AI122,A122,3,1,YES,2020-10-28 01:24:15.557569
AI123,A123,2,3,NO,2022-03-16 01:24:15.557569
AI124,A124,2,3,YES,2020-12-23 01:24:15.557569
AI125,A125,3,4,YES,2020-12-23 01:24:15.557569
AI126,A126,1,2,YES,2020-12-23 01:24:15.557569
AI127,A127,4,2,NO,2020-10-28 01:24:15.557569
AI128,A128,2,2,NO,2022-03-16 01:24:15.557569
AI129,A129,3,1,YES,2024-01-01 01:24:15.557569
AI130,A130,2,1,NO,2022-03-16 01:24:15.557569
AI131,A131,4,4,YES,2020-10-28 01:24:15.557569
AI132,A132,4,1,NO,2023-07-29 01:24:15.557569
AI133,A133,1,4,NO,2020-10-28 01:24:15.557569
AI134,A134,3,1,YES,2022-03-16 01:24:15.557569
AI135,A135,3,3,YES,2024-01-01 01:24:15.557569
AI136,A136,4,2,NO,2020-12-23 01:24:15.557569
AI137,A137,2,3,NO,2023-07-29 01:24:15.557569
AI138,A138,1,3,YES,2022-03-16 01:24:15.557569
AI139,A139,4,3,NO,2023-07-29 01:24:15.557569
AI140,A140,4,3,YES,2022-03-16 01:24:15.557569
AI141,A141,1,1,YES,2022-03-16 01:24:15.557569
AI142,A142,1,1,NO,2020-12-23 01:24:15.557569
AI143,A143,3,4,YES,2020-12-23 01:24:15.557569
AI144,A144,4,2,YES,2020-10-28 01:24:15.557569
AI145,A145,2,2,YES,2020-10-28 01:24:15.557569
AI146,A146,3,4,YES,2023-07-29 01:24:15.557569
AI147,A147,2,4,YES,2020-12-23 01:24:15.557569
AI148,A148,3,4,YES,2022-03-16 01:24:15.557569
AI149,A149,4,4,NO,2020-10-28 01:24:15.557569
AI150,A150,1,3,YES,2020-10-28 01:24:15.557569
AI151,A151,1,4,NO,2020-10-28 01:24:15.557569
AI152,A152,3,3,NO,2020-12-23 01:24:15.557569
AI153,A153,3,2,YES,2023-07-29 01:24:15.557569
AI154,A154,1,3,YES,2024-01-01 01:24:15.557569
AI155,A155,2,1,YES,2020-12-23 01:24:15.557569
AI156,A156,3,2,YES,2024-01-01 01:24:15.557569
AI157,A157,3,1,YES,2020-10-28 01:24:15.557569
AI158,A158,2,1,NO,2023-07-29 01:24:15.557569
AI159,A159,1,2,NO,2023-07-29 01:24:15.557569
AI160,A160,3,4,NO,2020-10-28 01:24:15.557569
AI161,A161,3,2,NO,2020-10-28 01:24:15.557569
AI162,A162,4,1,NO,2020-10-28 01:24:15.557569
AI163,A163,3,4,NO,2024-01-01 01:24:15.557569
AI164,A164,3,4,NO,2023-07-29 01:24:15.557569
AI165,A165,4,4,NO,2022-03-16 01:24:15.557569
AI166,A166,1,3,NO,2020-10-28 01:24:15.557569
AI167,A167,3,2,NO,2020-10-28 01:24:15.557569
AI168,A168,4,4,NO,2023-07-29 01:24:15.557569
AI169,A169,3,4,NO,2020-10-28 01:24:15.557569
AI170,A170,2,2,NO,2020-12-23 01:24:15.557569
AI171,A171,2,4,NO,2023-07-29 01:24:15.557569
AI172,A172,2,1,NO,2024-01-01 01:24:15.557569
AI173,A173,3,3,YES,2020-12-23 01:24:15.557569
AI174,A174,1,2,NO,2022-03-16 01:24:15.557569
AI175,A175,4,1,YES,2020-10-28 01:24:15.557569
AI176,A176,3,2,NO,2024-01-01 01:24:15.557569
AI177,A177,3,3,NO,2020-12-23 01:24:15.557569
AI178,A178,1,4,YES,2024-01-01 01:24:15.557569
AI179,A179,2,2,YES,2020-12-23 01:24:15.557569
AI180,A180,3,4,NO,2022-03-16 01:24:15.557569
AI181,A181,1,1,NO,2023-07-29 01:24:15.557569
AI182,A182,1,3,NO,2022-03-16 01:24:15.557569
AI183,A183,1,4,YES,2024-01-01 01:24:15.557569
AI184,A184,2,3,YES,2020-10-28 01:24:15.557569
AI185,A185,4,1,YES,2020-12-23 01:24:15.557569
AI186,A186,2,1,NO,2024-01-01 01:24:15.557569
AI187,A187,2,1,NO,2024-01-01 01:24:15.557569
AI188,A188,3,2,YES,2024-01-01 01:24:15.557569
AI189,A189,1,4,YES,2020-12-23 01:24:15.557569
AI190,A190,1,2,NO,2023-07-29 01:24:15.557569
AI191,A191,4,4,YES,2020-10-28 01:24:15.557569
AI192,A192,1,2,NO,2020-10-28 01:24:15.557569
AI193,A193,2,2,NO,2023-07-29 01:24:15.557569
AI194,A194,3,4,NO,2020-12-23 01:24:15.557569
AI195,A195,3,1,YES,2020-10-28 01:24:15.557569
AI196,A196,4,3,NO,2024-01-01 01:24:15.557569
AI197,A197,2,2,NO,2020-12-23 01:24:15.557569
AI198,A198,4,2,NO,2023-07-29 01:24:15.557569
AI199,A199,4,2,NO,2020-12-23 01:24:15.557569
AI200,A200,4,1,YES,2024-01-01 01:24:15.557569
AI201,A201,2,2,YES,2023-07-29 01:24:15.557569
AI202,A202,2,1,YES,2020-10-28 01:24:15.557569
AI203,A203,1,2,NO,2020-12-23 01:24:15.557569
AI204,A204,3,3,YES,2023-07-29 01:24:15.557569
AI205,A205,3,3,NO,2022-03-16 01:24:15.557569
AI206,A206,2,4,YES,2024-01-01 01:24:15.557569
AI207,A207,4,3,YES,2023-07-29 01:24:15.557569
AI208,A208,2,3,YES,2024-01-01 01:24:15.557569
AI209,A209,1,4,YES,2022-03-16 01:24:15.557569
AI210,A210,4,3,YES,2022-03-16 01:24:15.557569
AI211,A211,3,3,YES,2022-03-16 01:24:15.557569
AI212,A212,1,3,YES,2020-12-23 01:24:15.557569
AI213,A213,4,1,NO,2020-10-28 01:24:15.557569
AI214,A214,1,3,NO,2023-07-29 01:24:15.557569
