AssetID,OEE,id
A1,61.36,OEE001
A2,60.36,OEE002
A3,63.36,OEE003
A4,65.34,OEE004
A5,67.08,OEE005
A6,60.58,OEE006
A7,64.59,OEE007
A8,61.23,OEE008
A9,63.82,OEE009
A10,61.4,OEE010
A11,69.47,OEE011
A12,64.81,OEE012
A13,60.5,OEE013
A14,63.07,OEE014
A15,65.76,OEE015
A16,71.36,OEE016
A17,58.82,OEE017
A18,67.9,OEE018
A19,66.27,OEE019
A20,55.79,OEE020
A21,66.06,OEE021
A22,60.32,OEE022
A23,62.75,OEE023
A24,62.75,OEE024
A25,68.6,OEE025
A26,61.88,OEE026
A27,62.68,OEE027
A28,64.79,OEE028
A29,69.49,OEE029
A30,59.87,OEE030
A31,60.67,OEE031
A32,62.21,OEE032
A33,69.73,OEE033
A34,62.54,OEE034
A35,66.16,OEE035
A36,63.45,OEE036
A37,60.34,OEE037
A38,60.03,OEE038
A39,65.85,OEE039
A40,58.96,OEE040
A41,62.57,OEE041
A42,62.27,OEE042
A43,58.31,OEE043
A44,66.0,OEE044
A45,62.66,OEE045
A46,60.48,OEE046
A47,58.73,OEE047
A48,60.55,OEE048
A49,62.55,OEE049
A50,61.06,OEE050
A51,56.86,OEE051
A52,61.66,OEE052
A53,66.25,OEE053
A54,62.24,OEE054
A55,59.22,OEE055
A56,59.23,OEE056
A57,58.83,OEE057
A58,63.04,OEE058
A59,59.44,OEE059
A60,61.63,OEE060
A61,62.26,OEE061
A62,66.7,OEE062
A63,62.13,OEE063
A64,59.63,OEE064
A65,62.35,OEE065
A66,58.72,OEE066
A67,60.95,OEE067
A68,62.0,OEE068
A69,70.82,OEE069
A70,64.63,OEE070
A71,64.22,OEE071
A72,65.8,OEE072
A73,69.28,OEE073
A74,62.55,OEE074
A75,60.93,OEE075
A76,66.03,OEE076
A77,66.15,OEE077
A78,68.9,OEE078
A79,61.07,OEE079
A80,67.28,OEE080
A81,69.48,OEE081
A82,61.34,OEE082
A83,59.81,OEE083
A84,57.59,OEE084
A85,62.68,OEE085
A86,61.26,OEE086
A87,62.71,OEE087
A88,62.02,OEE088
A89,66.83,OEE089
A90,64.33,OEE090
A91,59.62,OEE091
A92,62.59,OEE092
A93,67.81,OEE093
A94,68.6,OEE094
A95,63.89,OEE095
A96,69.62,OEE096
A97,68.51,OEE097
A98,60.44,OEE098
A99,67.22,OEE099
A100,65.42,OEE100
A101,61.28,OEE101
A102,67.56,OEE102
A103,59.25,OEE103
A104,63.27,OEE104
A105,70.52,OEE105
A106,62.47,OEE106
A107,61.83,OEE107
A108,65.68,OEE108
A109,61.32,OEE109
A110,68.51,OEE110
A111,62.57,OEE111
A112,68.61,OEE112
A113,57.89,OEE113
A114,60.6,OEE114
A115,62.3,OEE115
A116,63.3,OEE116
A117,61.58,OEE117
A118,59.26,OEE118
A119,67.91,OEE119
A120,55.12,OEE120
A121,66.61,OEE121
A122,68.05,OEE122
A123,61.69,OEE123
A124,64.07,OEE124
A125,68.98,OEE125
A126,56.93,OEE126
A127,60.67,OEE127
A128,57.82,OEE128
A129,70.19,OEE129
A130,65.29,OEE130
A131,67.74,OEE131
A132,64.57,OEE132
A133,67.65,OEE133
A134,62.25,OEE134
A135,58.24,OEE135
A136,64.5,OEE136
A137,66.07,OEE137
A138,60.49,OEE138
A139,59.81,OEE139
A140,61.22,OEE140
A141,62.28,OEE141
A142,59.31,OEE142
A143,59.31,OEE143
A144,70.81,OEE144
A145,63.46,OEE145
A146,62.55,OEE146
A147,64.73,OEE147
A148,64.47,OEE148
A149,62.48,OEE149
A150,59.59,OEE150
A151,60.89,OEE151
A152,61.07,OEE152
A153,64.46,OEE153
A154,62.83,OEE154
A155,70.39,OEE155
A156,66.94,OEE156
A157,56.32,OEE157
A158,59.49,OEE158
A159,58.72,OEE159
A160,59.19,OEE160
A161,62.39,OEE161
A162,64.7,OEE162
A163,58.84,OEE163
A164,62.33,OEE164
A165,60.9,OEE165
A166,65.05,OEE166
A167,63.71,OEE167
A168,64.03,OEE168
