id,Name,Qty,Location,BatchDate,Storage,ExpiryDate,Status
M1,Material1,850,Oregon,2024-09-15,STORAGE-Or,2027-09-15,Passed
M2,Material2,460,Wyoming,2023-10-12,STORAGE-Wy,2024-10-11,Failed
M3,Material3,670,Vermont,2023-12-22,STORAGE-Ve,2025-12-21,Passed
M4,Material4,970,Connecticut,2023-03-21,STORAGE-Co,2026-03-20,Passed
M5,Material5,510,North Dakota,2023-07-05,STORAGE-No,2024-07-04,Failed
M6,Material6,320,Texas,2024-06-24,STORAGE-Te,2026-06-24,Passed
M7,Material7,470,Texas,2024-07-20,STORAGE-Te,2027-07-20,Passed
M8,Material8,310,Texas,2023-11-20,STORAGE-Te,2025-11-19,Passed
M9,Material9,460,Wisconsin,2024-10-26,STORAGE-Wi,2025-10-26,Passed
M10,Material10,140,South Carolina,2024-08-25,STORAGE-So,2027-08-25,Passed
M11,Material11,560,Alabama,2023-05-19,STORAGE-Al,2025-05-18,Passed
M12,Material12,690,Michigan,2023-05-05,STORAGE-Mi,2026-05-04,Passed
M13,Material13,740,Kentucky,2024-12-11,STORAGE-Ke,2027-12-11,Passed
M14,Material14,680,Ohio,2023-05-22,STORAGE-Oh,2025-05-21,Passed
M15,Material15,210,Mississippi,2024-03-07,STORAGE-Mi,2025-03-07,Passed
M16,Material16,790,Kentucky,2023-05-29,STORAGE-Ke,2024-05-28,Failed
M17,Material17,280,Missouri,2023-08-15,STORAGE-Mi,2026-08-14,Passed
M18,Material18,620,Virginia,2024-08-16,STORAGE-Vi,2026-08-16,Passed
M19,Material19,750,Nebraska,2023-02-05,STORAGE-Ne,2026-02-04,Passed
M20,Material20,830,Alaska,2023-05-04,STORAGE-Al,2025-05-03,Passed
M21,Material21,440,Alabama,2023-10-15,STORAGE-Al,2025-10-14,Passed
M22,Material22,590,North Dakota,2023-11-14,STORAGE-No,2025-11-13,Passed
M23,Material23,410,Kansas,2023-02-17,STORAGE-Ka,2026-02-16,Passed
M24,Material24,870,South Dakota,2024-01-27,STORAGE-So,2025-01-26,Passed
M25,Material25,340,Minnesota,2023-11-04,STORAGE-Mi,2025-11-03,Passed
M26,Material26,240,Oregon,2023-01-15,STORAGE-Or,2026-01-14,Passed
M27,Material27,840,Ohio,2024-01-11,STORAGE-Oh,2025-01-10,Passed
M28,Material28,220,Tennessee,2024-04-02,STORAGE-Te,2026-04-02,Passed
M29,Material29,730,Vermont,2023-01-11,STORAGE-Ve,2024-01-11,Failed
M30,Material30,730,Maryland,2023-08-25,STORAGE-Ma,2026-08-24,Passed
