id,FacilityID,MaterialID,Qty,Status,Name,BatchDate,ExpiryDate
PM1,F-1-S1,M27,890,Passed,PM-M27-F-1-S1,2023-04-12,2025-04-11
PM2,F-2-S1,M30,150,Passed,PM-M30-F-2-S1,2024-03-04,2027-03-04
PM3,F-3-S1,M17,110,Passed,PM-M17-F-3-S1,2024-04-03,2026-04-03
PM4,F-1-S2,M11,430,Passed,PM-M11-F-1-S2,2024-06-04,2026-06-04
PM5,F-2-S2,M22,680,Passed,PM-M22-F-2-S2,2023-05-27,2026-05-26
PM6,F-1-S3,M10,740,Passed,PM-M10-F-1-S3,2024-03-21,2027-03-21
PM7,F-2-S3,M13,780,Passed,PM-M13-F-2-S3,2024-03-29,2026-03-29
PM8,F-3-S3,M8,790,Passed,PM-M8-F-3-S3,2023-07-27,2026-07-26
PM9,F-1-S4,M26,640,Passed,PM-M26-F-1-S4,2024-06-12,2026-06-12
PM10,F-2-S4,M9,160,Passed,PM-M9-F-2-S4,2023-11-25,2026-11-24
PM11,F-3-S4,M1,360,Passed,PM-M1-F-3-S4,2023-09-28,2024-09-27
PM12,F-1-S5,M29,330,Passed,PM-M29-F-1-S5,2024-01-16,2026-01-15
PM13,F-2-S5,M4,810,Passed,PM-M4-F-2-S5,2024-04-09,2025-04-09
PM14,F-1-S6,M18,410,Passed,PM-M18-F-1-S6,2023-09-07,2024-09-06
PM15,F-2-S6,M21,460,Passed,PM-M21-F-2-S6,2024-02-13,2025-02-12
PM16,F-3-S6,M28,890,Passed,PM-M28-F-3-S6,2023-12-18,2024-12-17
PM17,F-1-S7,M20,670,Failed,PM-M20-F-1-S7,2023-02-02,2024-02-02
PM18,F-2-S7,M24,690,Passed,PM-M24-F-2-S7,2024-05-22,2027-05-22
PM19,F-1-S8,M19,230,Passed,PM-M19-F-1-S8,2023-01-17,2025-01-16
PM20,F-2-S8,M5,180,Passed,PM-M5-F-2-S8,2023-09-22,2024-09-21
PM21,F-3-S8,M25,500,Passed,PM-M25-F-3-S8,2023-12-03,2024-12-02
PM22,F-1-S9,M7,250,Passed,PM-M7-F-1-S9,2023-03-07,2025-03-06
PM23,F-2-S9,M12,560,Passed,PM-M12-F-2-S9,2024-03-11,2025-03-11
PM24,F-3-S9,M16,300,Passed,PM-M16-F-3-S9,2023-09-08,2024-09-07
PM25,F-1-S10,M15,600,Passed,PM-M15-F-1-S10,2023-09-19,2024-09-18
PM26,F-2-S10,M6,960,Failed,PM-M6-F-2-S10,2023-04-20,2024-04-19
PM27,F-1-S1,M23,430,Passed,PM-M23-F-1-S1,2023-07-26,2025-07-25
PM28,F-2-S1,M2,990,Passed,PM-M2-F-2-S1,2023-06-08,2025-06-07
PM29,F-3-S1,M3,100,Passed,PM-M3-F-3-S1,2024-01-30,2026-01-29
PM30,F-1-S2,M14,370,Passed,PM-M14-F-1-S2,2024-04-23,2025-04-23
