id,AssetID,Temperature,Vibration,Noise,Pressure,Throughput
AM001,A1,25.27,14.17,54.88,0.79,82.16
AM002,A2,18.68,19.03,52.96,0.75,82.21
AM003,A3,25.96,12.31,57.02,0.75,85.28
AM004,A4,23.41,10.47,53.72,0.74,83.15
AM005,A5,25.67,15.45,55.19,0.75,74.35
AM006,A6,20.1,15.1,59.65,0.8,77.72
AM007,A7,24.28,16.52,55.25,0.77,76.5
AM008,A8,24.57,17.12,58.98,0.75,82.63
AM009,A9,24.05,16.4,50.39,0.7,78.29
AM010,A10,21.4,11.46,54.53,0.7,81.74
AM011,A11,25.78,17.24,59.66,0.71,75.63
AM012,A12,22.04,12.15,51.25,0.8,88.04
AM013,A13,25.04,16.89,56.65,0.74,70.57
AM014,A14,20.73,14.6,52.04,0.75,78.39
AM015,A15,25.24,18.45,59.66,0.72,77.9
AM016,A16,20.68,7.31,42.16,0.85,96.84
AM017,A17,24.23,14.44,53.72,0.77,77.88
AM018,A18,22.78,13.38,54.61,0.75,77.05
AM019,A19,27.1,12.84,58.47,0.71,89.52
AM020,A20,19.48,11.56,55.35,0.75,87.99
AM021,A21,24.34,12.12,52.79,0.75,78.51
AM022,A22,22.85,18.24,50.57,0.79,77.17
AM023,A23,22.3,10.54,57.34,0.8,82.85
AM024,A24,18.1,12.41,54.63,0.76,75.98
AM025,A25,24.47,13.3,52.3,0.72,77.84
AM026,A26,25.29,14.84,51.19,0.77,88.14
AM027,A27,23.95,15.81,53.15,0.77,79.87
AM028,A28,19.93,16.04,56.26,0.75,73.79
AM029,A29,21.91,19.92,57.74,0.75,87.73
AM030,A30,23.91,13.01,54.79,0.74,87.44
AM031,A31,18.9,10.44,59.12,0.76,78.85
AM032,A32,20.74,19.1,59.26,0.71,78.02
AM033,A33,21.63,10.99,52.24,0.76,72.1
AM034,A34,22.12,15.27,55.72,0.8,73.98
AM035,A35,23.66,16.65,56.12,0.71,71.7
AM036,A36,27.13,12.05,51.19,0.72,85.44
AM037,A37,21.48,12.98,59.27,0.76,71.08
AM038,A38,26.38,18.62,50.28,0.75,80.28
AM039,A39,26.03,15.12,51.03,0.74,85.42
AM040,A40,21.69,13.46,54.51,0.79,80.78
AM041,A41,21.39,10.69,59.73,0.8,85.61
AM042,A42,20.61,17.82,54.12,0.73,89.66
AM043,A43,23.52,10.51,55.9,0.75,83.98
AM044,A44,22.11,13.6,50.06,0.75,76.48
AM045,A45,23.29,12.36,50.06,0.74,73.78
AM046,A46,22.26,16.41,52.91,0.75,81.34
AM047,A47,21.05,10.17,52.2,0.79,76.02
AM048,A48,21.79,17.37,51.02,0.8,71.64
AM049,A49,22.18,17.14,51.11,0.72,86.17
AM050,A50,25.98,17.21,51.1,0.71,71.45
AM051,A51,18.95,17.82,50.3,0.73,82.79
AM052,A52,20.1,15.37,59.81,0.75,86.29
AM053,A53,19.97,16.65,51.45,0.73,80.94
AM054,A54,22.77,10.2,52.98,0.72,81.1
AM055,A55,21.69,17.75,51.8,0.77,81.73
AM056,A56,21.45,15.53,54.22,0.77,82.49
AM057,A57,24.04,18.94,57.2,0.78,82.66
AM058,A58,19.04,19.27,55.94,0.79,74.98
AM059,A59,27.3,10.55,50.59,0.75,77.41
AM060,A60,27.36,17.44,57.27,0.78,84.14
AM061,A61,18.73,12.35,58.1,0.76,85.07
AM062,A62,25.67,14.53,51.34,0.72,84.9
AM063,A63,25.25,18.51,55.53,0.74,78.19
AM064,A64,24.84,11.35,53.23,0.76,76.53
AM065,A65,23.54,18.13,59.15,0.72,72.81
AM066,A66,20.91,11.73,54.73,0.75,79.69
AM067,A67,27.62,11.4,53.43,0.79,89.14
AM068,A68,21.03,15.0,55.78,0.75,71.14
AM069,A69,23.0,5.8,48.8,0.88,97.84
AM070,A70,27.52,16.85,55.47,0.73,75.34
AM071,A71,23.33,17.87,58.15,0.74,82.26
AM072,A72,19.82,10.65,59.16,0.79,78.31
AM073,A73,19.71,14.43,54.09,0.8,82.25
AM074,A74,20.13,15.48,55.17,0.78,79.81
AM075,A75,25.88,18.15,52.66,0.79,85.02
AM076,A76,24.95,19.19,55.47,0.8,84.4
AM077,A77,18.2,19.64,57.84,0.76,79.3
AM078,A78,19.51,15.09,56.49,0.75,88.86
AM079,A79,23.21,17.11,50.5,0.7,82.22
AM080,A80,19.56,10.38,54.55,0.8,88.69
AM081,A81,21.24,19.55,50.03,0.74,87.18
AM082,A82,21.87,13.05,59.64,0.77,73.81
AM083,A83,26.19,15.38,57.09,0.72,78.3
AM084,A84,23.96,11.02,57.41,0.76,86.12
AM085,A85,25.32,18.75,54.32,0.75,78.96
AM086,A86,21.8,10.72,55.18,0.79,78.66
AM087,A87,19.05,16.61,53.17,0.71,83.95
AM088,A88,25.35,15.89,59.61,0.76,78.01
AM089,A89,26.65,18.32,52.41,0.75,76.58
AM090,A90,20.83,19.65,58.29,0.7,88.13
AM091,A91,22.95,18.25,54.29,0.78,87.28
AM092,A92,26.1,12.34,56.29,0.79,89.33
AM093,A93,19.63,10.35,52.47,0.76,71.7
AM094,A94,19.61,16.29,58.55,0.74,88.46
AM095,A95,27.92,18.79,52.18,0.77,83.18
AM096,A96,25.26,16.32,57.16,0.75,81.29
AM097,A97,27.06,14.14,54.21,0.74,89.41
AM098,A98,23.18,10.81,57.38,0.79,82.88
AM099,A99,19.49,16.81,56.3,0.74,71.36
AM100,A100,18.76,19.37,51.83,0.71,74.57
AM101,A101,23.35,18.08,54.55,0.8,84.43
AM102,A102,26.1,15.85,59.76,0.77,83.85
AM103,A103,25.57,10.73,50.28,0.76,84.21
AM104,A104,23.83,14.51,58.63,0.74,87.98
AM105,A105,21.28,6.7,48.27,0.8,98.65
AM106,A106,25.2,16.52,60.0,0.79,78.78
AM107,A107,22.04,16.34,55.57,0.79,85.99
AM108,A108,25.2,16.46,50.85,0.8,73.89
AM109,A109,25.94,12.93,55.67,0.76,79.51
AM110,A110,19.89,12.44,57.36,0.79,88.54
AM111,A111,25.6,17.59,59.37,0.76,84.94
AM112,A112,25.98,14.77,50.49,0.77,87.57
AM113,A113,20.05,19.07,55.1,0.71,87.43
AM114,A114,18.01,13.6,51.25,0.74,77.29
AM115,A115,19.05,16.43,58.91,0.72,85.33
AM116,A116,26.29,10.08,50.45,0.77,82.05
AM117,A117,27.96,14.42,51.45,0.73,77.35
AM118,A118,23.56,17.48,57.83,0.78,88.96
AM119,A119,25.46,13.62,54.44,0.72,78.92
AM120,A120,23.4,18.8,50.11,0.76,84.6
AM121,A121,27.39,15.57,57.36,0.73,70.81
AM122,A122,25.14,10.77,54.38,0.74,75.66
AM123,A123,23.6,10.22,59.18,0.73,82.45
AM124,A124,25.14,17.62,51.57,0.72,78.04
AM125,A125,23.34,15.49,59.24,0.7,78.31
AM126,A126,18.38,13.8,51.66,0.76,89.71
AM127,A127,26.79,16.27,56.83,0.71,81.67
AM128,A128,23.37,10.72,56.58,0.74,82.48
AM129,A129,24.92,6.85,48.24,0.88,96.32
AM130,A130,26.68,19.49,50.98,0.76,79.45
AM131,A131,27.8,15.12,56.35,0.74,81.59
AM132,A132,24.97,13.88,53.5,0.72,88.42
AM133,A133,23.16,16.43,51.38,0.78,76.51
AM134,A134,19.14,16.43,53.77,0.73,88.52
AM135,A135,25.34,19.13,55.06,0.8,82.58
AM136,A136,23.82,17.34,50.45,0.78,79.58
AM137,A137,21.8,17.81,51.32,0.72,75.05
AM138,A138,19.01,17.06,51.94,0.71,75.75
AM139,A139,22.84,10.78,55.95,0.76,87.69
AM140,A140,24.71,13.94,54.74,0.72,70.61
AM141,A141,18.38,11.05,53.77,0.75,80.42
AM142,A142,18.16,11.15,51.57,0.8,88.86
AM143,A143,22.14,10.17,51.66,0.75,79.39
AM144,A144,22.0,8.35,44.57,0.9,96.06
AM145,A145,20.5,18.15,53.11,0.77,73.38
AM146,A146,21.55,16.29,53.64,0.78,75.09
AM147,A147,18.3,12.12,59.25,0.75,87.78
AM148,A148,22.2,16.45,58.98,0.78,87.26
AM149,A149,24.56,13.89,58.87,0.78,88.91
AM150,A150,23.43,14.35,54.03,0.8,77.31
AM151,A151,22.85,12.03,57.28,0.77,78.2
AM152,A152,20.88,16.54,59.51,0.74,77.96
AM153,A153,22.86,16.77,54.51,0.78,81.05
AM154,A154,18.67,13.58,59.33,0.73,89.87
AM155,A155,21.74,8.35,46.42,0.84,99.03
AM156,A156,26.44,19.74,59.24,0.77,76.66
AM157,A157,23.53,17.58,52.88,0.8,88.51
AM158,A158,26.49,15.34,53.88,0.79,87.81
AM159,A159,19.75,18.78,54.72,0.78,71.7
AM160,A160,25.91,12.78,56.34,0.71,76.41
AM161,A161,18.61,10.49,56.37,0.79,72.19
AM162,A162,20.3,16.62,51.41,0.73,75.26
AM163,A163,25.95,18.83,59.58,0.72,80.75
AM164,A164,24.28,12.1,58.66,0.72,84.33
AM165,A165,20.68,12.91,59.17,0.8,81.07
AM166,A166,18.18,12.99,53.99,0.72,85.55
