id,AssetID,ComplianceStatus,RegulatoryReferences,Documentation
ComplianceRecord_A1,A1,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A2,A2,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A3,A3,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A4,A4,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A5,A5,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A6,A6,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A7,A7,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A8,A8,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A9,A9,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A10,A10,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A11,A11,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A12,A12,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A13,A13,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A14,A14,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A15,A15,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A16,A16,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A17,A17,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A18,A18,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A19,A19,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A20,A20,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A21,A21,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A22,A22,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A23,A23,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A24,A24,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A25,A25,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A26,A26,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A27,A27,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A28,A28,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A29,A29,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A30,A30,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A31,A31,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A32,A32,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A33,A33,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A34,A34,Non-Compliant,Regulatory references details...,Documentation details...
