id,Name,ProductID,Qty,BOMID,Status,StartDate,EndDate
PO1,PO1,P1007,880,BOM0010,Completed,2024-06-13,2024-06-14
PO2,PO2,P10010,770,BOM007,Completed,2024-06-12,2024-06-13
PO3,PO3,P1004,670,BOM006,Completed,2024-06-11,2024-06-12
PO4,PO4,P1006,850,BOM002,In Progress,2024-06-10,2024-06-11
PO5,PO5,P1006,960,BOM004,Completed,2024-06-09,2024-06-10
PO6,PO6,P1001,730,BOM001,In Progress,2024-06-08,2024-06-09
PO7,PO7,P1002,910,BOM003,In Progress,2024-06-07,2024-06-08
PO8,PO8,P10010,620,BOM008,On Hold,2024-06-06,2024-06-07
PO9,PO9,P1009,830,BOM007,Completed,2024-06-05,2024-06-06
PO10,PO10,P1003,710,BOM009,In Progress,2024-06-04,2024-06-05
PO11,PO11,P1008,970,BOM0010,Completed,2024-06-03,2024-06-04
PO12,PO12,P1003,870,BOM001,In Progress,2024-06-02,2024-06-03
PO13,PO13,P1002,670,BOM001,Completed,2024-06-01,2024-06-02
PO14,PO14,P1001,920,BOM002,Completed,2024-05-31,2024-06-01
PO15,PO15,P1003,820,BOM009,Completed,2024-05-30,2024-05-31
PO16,PO16,P10010,600,BOM003,Completed,2024-05-29,2024-05-30
PO17,PO17,P1007,900,BOM009,In Progress,2024-05-28,2024-05-29
PO18,PO18,P1009,710,BOM005,Completed,2024-05-27,2024-05-28
PO19,PO19,P1005,830,BOM008,Planned,2024-05-26,2024-05-27
PO20,PO20,P10010,580,BOM007,In Progress,2024-05-25,2024-05-26
