id,Name,WOType,Task,POID,ProductID,BatchID,AssetType,AssetID,Status,StartDate,EndDate,FacilityID,SiteID,UnitProcedureID,BatchQty
WO-BPO1-1-1-Production-stage1,BPO1-1-1-Production-stage1-P1007-F-1-S6,Production-stage1,Blending,PO1,P1007,BPO1-1-1,Blenders,A120,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-4-BLB,70
WO-BPO1-1-1-Production-stage1,BPO1-1-1-Production-stage1-P1007-F-1-S6,Production-stage1,Milling,PO1,P1007,BPO1-1-1,Mills,A119,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-3-MIM,70
WO-BPO1-1-1-LIMS,BPO1-1-1-LIMS-P1007-F-1-S6,LIMS,Microbiological Testing,PO1,P1007,BPO1-1-1,Incubators,A128,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-1-MIT,70
WO-BPO1-1-1-LIMS,BPO1-1-1-LIMS-P1007-F-1-S6,LIMS,Environmental Monitoring,PO1,P1007,BPO1-1-1,Air Particle Counters,A131,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-4-ENM,70
WO-BPO1-1-1-LIMS,BPO1-1-1-LIMS-P1007-F-1-S6,LIMS,Chemical Analysis,PO1,P1007,BPO1-1-1,HPLC,A129,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-2-CHA,70
WO-BPO1-1-2-Production-stage1,BPO1-1-2-Production-stage1-P1007-F-1-S6,Production-stage1,Distillation equipment,PO1,P1007,BPO1-1-2,Distillation equipment,A122,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-7-DIE,70
WO-BPO1-1-2-Production-stage1,BPO1-1-2-Production-stage1-P1007-F-1-S6,Production-stage1,Extraction equipment,PO1,P1007,BPO1-1-2,Extraction equipment,A123,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.634565,F-1-S6,S6,PR-8-EXE,70
WO-BPO1-1-2-LIMS,BPO1-1-2-LIMS-P1007-F-1-S6,LIMS,Physical Testing,PO1,P1007,BPO1-1-2,Particle Size Analyzers,A130,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.638867,F-1-S6,S6,LI-3-PHT,70
WO-BPO1-1-2-LIMS,BPO1-1-2-LIMS-P1007-F-1-S6,LIMS,Microbiological Testing,PO1,P1007,BPO1-1-2,Incubators,A128,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-1-MIT,70
WO-BPO1-1-2-LIMS,BPO1-1-2-LIMS-P1007-F-1-S6,LIMS,Stability Testing,PO1,P1007,BPO1-1-2,Temperature and Humidity Controllers,A132,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-5-STT,70
WO-BPO1-1-3-Production-stage1,BPO1-1-3-Production-stage1-P1007-F-1-S6,Production-stage1,Mixing ingredients,PO1,P1007,BPO1-1-3,Mixers,A117,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-1-MII,70
WO-BPO1-1-3-Production-stage1,BPO1-1-3-Production-stage1-P1007-F-1-S6,Production-stage1,Extraction equipment,PO1,P1007,BPO1-1-3,Extraction equipment,A123,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.643867,F-1-S6,S6,PR-8-EXE,70
WO-BPO1-1-3-Production-stage1,BPO1-1-3-Production-stage1-P1007-F-1-S6,Production-stage1,Granulation,PO1,P1007,BPO1-1-3,Granulators,A118,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-2-GRG,70
WO-BPO1-1-3-LIMS,BPO1-1-3-LIMS-P1007-F-1-S6,LIMS,Chemical Analysis,PO1,P1007,BPO1-1-3,HPLC,A129,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-2-CHA,70
WO-BPO1-1-3-LIMS,BPO1-1-3-LIMS-P1007-F-1-S6,LIMS,Stability Testing,PO1,P1007,BPO1-1-3,Temperature and Humidity Controllers,A132,Completed,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-5-STT,70
WO-BPO1-1-3-LIMS,BPO1-1-3-LIMS-P1007-F-1-S6,LIMS,Physical Testing,PO1,P1007,BPO1-1-3,Particle Size Analyzers,A130,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-3-PHT,70
WO-BPO1-1-4-Production-stage1,BPO1-1-4-Production-stage1-P1007-F-1-S6,Production-stage1,Mixing ingredients,PO1,P1007,BPO1-1-4,Mixers,A117,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.652545,F-1-S6,S6,PR-1-MII,70
WO-BPO1-1-4-Production-stage1,BPO1-1-4-Production-stage1-P1007-F-1-S6,Production-stage1,Milling,PO1,P1007,BPO1-1-4,Mills,A119,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.654544,F-1-S6,S6,PR-3-MIM,70
WO-BPO1-1-4-LIMS,BPO1-1-4-LIMS-P1007-F-1-S6,LIMS,Physical Testing,PO1,P1007,BPO1-1-4,Particle Size Analyzers,A130,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.658544,F-1-S6,S6,LI-3-PHT,70
WO-BPO1-1-4-LIMS,BPO1-1-4-LIMS-P1007-F-1-S6,LIMS,Microbiological Testing,PO1,P1007,BPO1-1-4,Incubators,A128,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-1-MIT,70
WO-BPO1-1-4-LIMS,BPO1-1-4-LIMS-P1007-F-1-S6,LIMS,Environmental Monitoring,PO1,P1007,BPO1-1-4,Air Particle Counters,A131,Completed,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-4-ENM,70
WO-BPO1-1-5-Production-stage1,BPO1-1-5-Production-stage1-P1007-F-1-S6,Production-stage1,Granulation,PO1,P1007,BPO1-1-5,Granulators,A118,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-2-GRG,70
WO-BPO1-1-5-Production-stage1,BPO1-1-5-Production-stage1-P1007-F-1-S6,Production-stage1,Extraction equipment,PO1,P1007,BPO1-1-5,Extraction equipment,A123,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-8-EXE,70
WO-BPO1-1-5-Production-stage1,BPO1-1-5-Production-stage1-P1007-F-1-S6,Production-stage1,Reactors,PO1,P1007,BPO1-1-5,Reactors,A121,Completed,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-6-RER,70
WO-BPO1-1-5-LIMS,BPO1-1-5-LIMS-P1007-F-1-S6,LIMS,Environmental Monitoring,PO1,P1007,BPO1-1-5,Air Particle Counters,A131,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.668720,F-1-S6,S6,LI-4-ENM,70
WO-BPO1-1-5-LIMS,BPO1-1-5-LIMS-P1007-F-1-S6,LIMS,Chemical Analysis,PO1,P1007,BPO1-1-5,HPLC,A129,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-2-CHA,70
WO-BPO1-1-5-LIMS,BPO1-1-5-LIMS-P1007-F-1-S6,LIMS,Physical Testing,PO1,P1007,BPO1-1-5,Particle Size Analyzers,A130,On Hold,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-3-PHT,70
WO-BPO1-1-6-Production-stage1,BPO1-1-6-Production-stage1-P1007-F-1-S6,Production-stage1,Reactors,PO1,P1007,BPO1-1-6,Reactors,A121,On Hold,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-6-RER,70
WO-BPO1-1-6-Production-stage1,BPO1-1-6-Production-stage1-P1007-F-1-S6,Production-stage1,Blending,PO1,P1007,BPO1-1-6,Blenders,A120,On Hold,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-4-BLB,70
WO-BPO1-1-6-Production-stage1,BPO1-1-6-Production-stage1-P1007-F-1-S6,Production-stage1,Milling,PO1,P1007,BPO1-1-6,Mills,A119,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-3-MIM,70
WO-BPO1-1-6-LIMS,BPO1-1-6-LIMS-P1007-F-1-S6,LIMS,Chemical Analysis,PO1,P1007,BPO1-1-6,HPLC,A129,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.679056,F-1-S6,S6,LI-2-CHA,70
WO-BPO1-1-6-LIMS,BPO1-1-6-LIMS-P1007-F-1-S6,LIMS,Environmental Monitoring,PO1,P1007,BPO1-1-6,Air Particle Counters,A131,On Hold,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-4-ENM,70
WO-BPO1-1-6-LIMS,BPO1-1-6-LIMS-P1007-F-1-S6,LIMS,Physical Testing,PO1,P1007,BPO1-1-6,Particle Size Analyzers,A130,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.681057,F-1-S6,S6,LI-3-PHT,70
WO-BPO1-1-7-Production-stage1,BPO1-1-7-Production-stage1-P1007-F-1-S6,Production-stage1,Mixing ingredients,PO1,P1007,BPO1-1-7,Mixers,A117,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-1-MII,70
WO-BPO1-1-7-Production-stage1,BPO1-1-7-Production-stage1-P1007-F-1-S6,Production-stage1,Distillation equipment,PO1,P1007,BPO1-1-7,Distillation equipment,A122,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-7-DIE,70
WO-BPO1-1-7-Production-stage1,BPO1-1-7-Production-stage1-P1007-F-1-S6,Production-stage1,Blending,PO1,P1007,BPO1-1-7,Blenders,A120,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-4-BLB,70
WO-BPO1-1-7-LIMS,BPO1-1-7-LIMS-P1007-F-1-S6,LIMS,Microbiological Testing,PO1,P1007,BPO1-1-7,Incubators,A128,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-1-MIT,70
WO-BPO1-1-7-LIMS,BPO1-1-7-LIMS-P1007-F-1-S6,LIMS,Chemical Analysis,PO1,P1007,BPO1-1-7,HPLC,A129,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.691057,F-1-S6,S6,LI-2-CHA,70
WO-BPO1-1-7-LIMS,BPO1-1-7-LIMS-P1007-F-1-S6,LIMS,Stability Testing,PO1,P1007,BPO1-1-7,Temperature and Humidity Controllers,A132,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-5-STT,70
WO-BPO1-1-8-Production-stage1,BPO1-1-8-Production-stage1-P1007-F-1-S6,Production-stage1,Milling,PO1,P1007,BPO1-1-8,Mills,A119,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.696057,F-1-S6,S6,PR-3-MIM,70
WO-BPO1-1-8-Production-stage1,BPO1-1-8-Production-stage1-P1007-F-1-S6,Production-stage1,Granulation,PO1,P1007,BPO1-1-8,Granulators,A118,Completed,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-2-GRG,70
WO-BPO1-1-8-Production-stage1,BPO1-1-8-Production-stage1-P1007-F-1-S6,Production-stage1,Extraction equipment,PO1,P1007,BPO1-1-8,Extraction equipment,A123,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-8-EXE,70
WO-BPO1-1-8-LIMS,BPO1-1-8-LIMS-P1007-F-1-S6,LIMS,Environmental Monitoring,PO1,P1007,BPO1-1-8,Air Particle Counters,A131,On Hold,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-4-ENM,70
WO-BPO1-1-8-LIMS,BPO1-1-8-LIMS-P1007-F-1-S6,LIMS,Stability Testing,PO1,P1007,BPO1-1-8,Temperature and Humidity Controllers,A132,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.704057,F-1-S6,S6,LI-5-STT,70
WO-BPO1-1-8-LIMS,BPO1-1-8-LIMS-P1007-F-1-S6,LIMS,Microbiological Testing,PO1,P1007,BPO1-1-8,Incubators,A128,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-1-MIT,70
WO-BPO1-1-9-Production-stage1,BPO1-1-9-Production-stage1-P1007-F-1-S6,Production-stage1,Milling,PO1,P1007,BPO1-1-9,Mills,A119,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-3-MIM,70
WO-BPO1-1-9-Production-stage1,BPO1-1-9-Production-stage1-P1007-F-1-S6,Production-stage1,Mixing ingredients,PO1,P1007,BPO1-1-9,Mixers,A117,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.708056,F-1-S6,S6,PR-1-MII,70
WO-BPO1-1-9-Production-stage1,BPO1-1-9-Production-stage1-P1007-F-1-S6,Production-stage1,Reactors,PO1,P1007,BPO1-1-9,Reactors,A121,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-6-RER,70
WO-BPO1-1-9-LIMS,BPO1-1-9-LIMS-P1007-F-1-S6,LIMS,Chemical Analysis,PO1,P1007,BPO1-1-9,HPLC,A129,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-2-CHA,70
WO-BPO1-1-9-LIMS,BPO1-1-9-LIMS-P1007-F-1-S6,LIMS,Physical Testing,PO1,P1007,BPO1-1-9,Particle Size Analyzers,A130,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.714056,F-1-S6,S6,LI-3-PHT,70
WO-BPO1-1-9-LIMS,BPO1-1-9-LIMS-P1007-F-1-S6,LIMS,Microbiological Testing,PO1,P1007,BPO1-1-9,Incubators,A128,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-1-MIT,70
WO-BPO1-1-10-Production-stage1,BPO1-1-10-Production-stage1-P1007-F-1-S6,Production-stage1,Blending,PO1,P1007,BPO1-1-10,Blenders,A120,Planned,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,PR-4-BLB,60
WO-BPO1-1-10-Production-stage1,BPO1-1-10-Production-stage1-P1007-F-1-S6,Production-stage1,Distillation equipment,PO1,P1007,BPO1-1-10,Distillation equipment,A122,In Progress,2024-06-14 09:50:15.755386,2024-06-13 09:50:16.718057,F-1-S6,S6,PR-7-DIE,60
WO-BPO1-1-10-LIMS,BPO1-1-10-LIMS-P1007-F-1-S6,LIMS,Physical Testing,PO1,P1007,BPO1-1-10,Particle Size Analyzers,A130,Cancelled,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-3-PHT,60
WO-BPO1-1-10-LIMS,BPO1-1-10-LIMS-P1007-F-1-S6,LIMS,Chemical Analysis,PO1,P1007,BPO1-1-10,HPLC,A129,On Hold,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-2-CHA,60
WO-BPO1-1-10-LIMS,BPO1-1-10-LIMS-P1007-F-1-S6,LIMS,Environmental Monitoring,PO1,P1007,BPO1-1-10,Air Particle Counters,A131,Completed,2024-06-14 09:50:15.755386,2024-06-14 09:50:15.755386,F-1-S6,S6,LI-4-ENM,60
WO-BPO2-2-1-Production-stage1,BPO2-2-1-Production-stage1-P1002-F-1-S5,Production-stage1,Extraction equipment,PO2,P1002,BPO2-2-1,Extraction equipment,A103,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-8-EXE,70
WO-BPO2-2-1-Production-stage1,BPO2-2-1-Production-stage1-P1002-F-1-S5,Production-stage1,Blending,PO2,P1002,BPO2-2-1,Blenders,A100,On Hold,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-4-BLB,70
